conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3379edec-4d25-4135-83c1-2bf47b2fb52e,skill/competence,cross-sector,research taxation procedures,"research taxation processes
research taxation strategies
understand research taxation measures
understand research taxation plans
research taxation plans
research taxation procedures
understand research taxation strategies
research taxation measures",,released,2016-12-20T20:13:50Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Research the procedures which regulate taxation activities such as the procedures involved in the calculation of tax for organisations or individuals, the taxation handling and inspection process, and tax returns processes."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/337e06b0-29e3-47bf-95a3-19bd84b311de,skill/competence,cross-sector,manipulate metal,"utilise metal
manipulate metals
shape metal
mould metal
use metal
manipulating metal
manipulate metal",,released,2016-12-20T19:08:32Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Manipulate the properties, shape and size of metal."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33841903-78d8-4273-950d-755248290c2d,skill/competence,occupation-specific,carry out research on ground systems,"research ground system operations
research ground systems and hardware
carry out ground systems research
carry out research on ground systems
execute ground system research studies
research ground systems
perform research on ground systems
conduct ground systems research
undertake research on ground systems
undertake ground systems research
research operations of ground systems
conduct research on ground systems",,released,2022-07-05T14:38:14.433Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Conduct research on ground systems and hardware; research the fields of encryption, networking, and mass storage."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,knowledge,transversal,Arabic,"competent in Arabic
Arabic
ability to comprehend spoken and written Arabic and to speak and write in Arabic",,released,2017-01-20T15:25:24Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups",The Arabic language.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33887e80-89d8-4473-8622-e56fd90aaa5b,skill/competence,sector-specific,manage well interaction,"oversee well interactions
oversight of well interaction
managing of well interaction
management of well interactions
well interactions management
oversee well interaction
oversight of well interactions
well interaction oversight
managing well interaction
well interactions oversight
overseeing well interactions
overseeing well interaction
management of well interaction
manage well interactions
manage well interaction
well interaction management
managing well interactions",,released,2016-12-20T20:00:22Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Understand and manage the process of different wells interacting with one another.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/338c6957-d0c7-49dd-8cdc-42e8d2921781,skill/competence,cross-sector,perform religious ceremonies,"lead religious ceremonies
perform religious ceremonies
celebrate religious ceremonies
lead religious worship
undertake  religious ceremonies
undertake  religious worship
celebrate religious worship",,released,2016-12-20T20:18:24Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Perform the ritual acts and apply the traditional religious texts during ceremonial events, such as funerals, confirmation, baptism, birth rites and other religious ceremonies."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/338dc4d9-e833-4084-82cd-7deba192390c,knowledge,occupation-specific,ship hull engineering,"manufacture of vessel hulls
ship hull construction
construction of vessel hulls
manufacture of ship hulls
engineering in vessel hulls
hull engineering
vessel hull construction
ship hull engineering
vessel hull engineering
engineering in ship hulls",,released,2016-12-20T21:06:40Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Understand the construction and engineering of the watertight body of ships where machines and engineering operations are carried out.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3391d6dd-d584-4c8c-9af9-d2f0c45e2b4b,knowledge,cross-sector,journalism,"reporting
journalist
journalism
journalists
reportage
press",,released,2016-12-20T20:27:25Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The activity of collecting, processing and presenting to and audience information related to current events, trends, and people, called the news."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3398504d-9137-4a38-a91c-b37416eba276,knowledge,sector-specific,security requirements of goods transported via pipelines,"safety measures to prevent pipeline transportation accidents
security requirements of goods transported via pipelines
security requirements of goods transported through pipelines
safety requirements for goods transported via pipelines
security requirements for pipeline transportation
security standards to prevent pipeline transportation accidents
security measures to prevent pipeline transportation accidents
security requirements for goods transported via pipelines
safety requirements for pipeline transportation
safety requirements for goods transported through pipelines
safety standards to prevent pipeline transportation accidents",,released,2016-12-20T21:00:30Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Know the security requirements and safety measures necessary to avoid accidents during the transportation of goods via pipelines. Ensure measures for the transport of oil and petroleum products, olefin, ammonia, CO2, hydrogen, and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3399b329-fa92-43c7-bb9d-065fa333ada8,skill/competence,occupation-specific,clean oil processing units,"cleaning refinery equipment
cleaning oil processing units
oil processing unit  cleaning
clean oil processing unit
clean refinery equipment
clean oil processing units
cleaning of oil processing units
refinery equipment cleaning",,released,2021-12-08T22:27:30.327Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Clean interiors of oil processing units; circulate cleaning solvents and chemicals within.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3399cde5-6d0d-48a5-a7ac-53706648f283,skill/competence,cross-sector,escort students on a field trip,"escorting students on a field trip
escort students on field trips
escort students on a field trip
accompany students on a field trip
escorts students on a field trip
supervise students on a field trip",,released,2016-12-20T18:28:21Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Accompany students on an educational trip outside the school environment and ensure their safety and cooperation.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb,skill/competence,cross-sector,manage staff,"coordinate and monitor employees
manage subordinates
coordinate and monitor subordinates
manage team
manage staff
coordinate and monitor staff
manage employees",,released,2016-12-20T20:30:17Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Manage employees and subordinates, working in a team or individually, to maximise their performance and contribution. Schedule their work and activities, give instructions, motivate and direct the workers to meet the company objectives. Monitor and measure how an employee undertakes their responsibilities and how well these activities are executed. Identify areas for improvement and make suggestions to achieve this. Lead a group of people to help them achieve goals and maintain an effective working relationship among staff."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/339f165c-0002-47d2-91a6-ca4722ec682f,skill/competence,sector-specific,supervise music groups,"manage music groups
supervise musical groups
supervise music groups
supervising music groups
direct music groups
supervise music group",,released,2016-12-22T21:51:29Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Direct music groups, individual musicians or complete orchestras at rehearsals and during live or studio performances, in order to improve the overall tonal and harmonic balance, dynamics, rhythm, and tempo."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a1b24a-3230-4e46-bffe-a3f45685f9fd,knowledge,occupation-specific,physiology of balance,"physiology of balance
balance physiology
physiology of body equilibrium
characteristics and functions of the vestibular system
balance-physiology",,released,2016-12-20T19:12:59Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The characteristics and functions of the vestibular system, which is the responsible for body equilibrium."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,skill/competence,cross-sector,protect personal data and privacy,"protect online privacy and identity
safeguarding online privacy and identity
safeguard online privacy and identities
protect digital identity
protect digital privacy
keep online privacy and identity secure
safeguard online privacy and identity
review online privacy settings
take action to ensure online privacy
defend online privacy and identity
protect personal data and privacy
safeguard online identity and privacy",,released,2022-07-05T14:33:44.716Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/digcomp",Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a8fae7-d559-43e9-af8e-d48579865748,skill/competence,cross-sector,train air force crew,"instruct members of the air force
instruct air force crew
educate members of the air force
educate air force crew
train air force crew
teach air force crew
teach members of the air force",,released,2016-12-20T20:20:59Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Train a crew of air force personnel in activities specific to their duties, in air force regulations and operations, and ensure their welfare."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33b55d3a-81f5-45cb-af40-06cd54db78e1,skill/competence,sector-specific,output electronic files,"outputting electronic files
output electronic file
produce electronic files
output electronic files
issue electronic files
generate electronic files",,released,2022-07-05T14:38:15.447Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Load customer supplied electronic files onto the prepress file server, whilst checking them for completeness and potential problems. Communicate eventual problems with customers and production personnel."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33c01497-8264-4773-81dd-6096ad512f02,knowledge,cross-sector,health care occupation-specific ethics,"ethical standards in health care
ethical obligations in occupation
health care occupation-specific moral rules and principles
medical ethics
health care occupation-specific ethics
ethic standards in medicine
health care occupation-specific moral standards
moral rules and principles in health care
health care occupation specific ethics",,released,2016-12-20T19:31:27Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The moral standards and procedures, ethical questions and obligations specific to occupations in a health care setting such as respect for human dignity, self-determination, informed consent and patient confidentiality."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33c8742f-fc91-433b-8d3f-3238f7e3018f,skill/competence,occupation-specific,install safety devices,"installing safety devices
installing safety device
install safety devices
configure safety devices
install safety device
set up safety devices",,released,2016-12-20T20:22:16Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Set up devices that protect individuals from harm and ensure occupational health, such as airbags and residual current devices."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33d49d4f-31ec-473f-9b8a-b555aa5116bb,knowledge,sector-specific,Iterative development,Iterative development,,released,2022-07-05T14:33:28.658Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036",The iterative development model is a methodology to design software systems and applications.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33dd30c8-848d-4c65-87ce-a319e694ae46,skill/competence,sector-specific,feed mirror machine,"supplying mirror machine
supply mirror machine
mirror machine feeding
feeding mirror machine
feed mirror machine",,released,2021-12-08T22:27:58.637Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Feed the glass silvering machine with mirror glass.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33e45139-5f77-45a6-b508-9d1cdca431a8,skill/competence,occupation-specific,repair aircraft's body,"repair aircraft bodies
restore aircraft's body
mend aircraft's body
patch up aircraft's body
fix aircraft's body
repair aircraft's body
repair flying machine's body
repair the body of aircraft's",,released,2016-12-20T20:03:24Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Repair superficial damages on the body of the aircraft by using fiberglass and sealants.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33e5a0ea-6e6f-4b22-9865-71864de92985,skill/competence,sector-specific,advise on fertiliser and herbicide,"give advice on herbicide
advising on herbicide
advising  on fertiliser and herbicide
advising on fertiliser
give advice on fertiliser
advise on herbicide
advise on fertilizer  and herbicide
giving advice on fertiliser and herbicide
giving advice on fertiliser
giving advice on herbicide
advise on fertiliser
give advice on fertiliser and herbicide",,released,2020-06-23T14:17:36.114Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Provide advice on types of fertilisers and herbicides, their usage and best time to apply them."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33e63e00-43c8-42af-b66b-c10847111e99,skill/competence,occupation-specific,maintain hydraulic press,"control hydraulic press
maintain a hydraulic press
preserve hydraulic press
manage hydraulic press
maintain hydraulic press
sustain hydraulic press
maintain hydraulic presses",,released,2016-12-20T18:58:30Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Tend hydraulic press to extract oil from seeds.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33f39236-ab8c-4554-b80c-ca506cafde45,skill/competence,sector-specific,evaluate social work program's impact,"impact evaluation of social work program
impact evaluation of social work programme
evaluate social work programme's impact
evaluate impact of social work programme
evaluate social work program's impact
evaluate social work programmes' impact
evaluate impact of social work program
evaluate social work programs' impact
collect data to evaluate social work programme
impact evaluation of social work programmes
impact evaluation of social work programs",,released,2016-12-20T19:30:17Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Gather data to allow the assessment of the impact of a program on a community.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34016949-da9c-4107-98e3-1080ae405e27,skill/competence,sector-specific,perform welding inspection,"implement soldering and welding quality assurance checks
execute soldering and welding quality assurance checks
execute welding inspection
undertake welding inspection
complete soldering and welding quality assurance checks
undertake soldering and welding quality assurance checks
complete welding inspection
perform welding inspection
implement welding inspection",,released,2016-12-20T19:50:38Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Inspect and assure the quality of welded metals using diverse testing techniques.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34035545-4c38-42f2-8138-2fc5cefa4d1f,skill/competence,occupation-specific,monitor well safety,"monitoring well safety
oil well safety inspecting
monitor well safety
well safety monitoring
monitoring of oil well safety
well safety inspecting
inspecting well safety
monitoring oil well safety
inspecting oil well safety
monitoring of well safety
well safety inspection
oil well safety monitoring
oil well safety inspection",,released,2016-12-20T19:54:00Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Inspect the safety of an oil well on the drilling rig or drilling site, detect safety issues or potential risks."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34085657-5d64-4a68-abef-e5b7df3b3d46,skill/competence,transversal,understand written Catalan,"make sense of written Catalan
understand Catalan writing
understand written Catalan
read Catalan
understanding written Catalan
comprehend written Catalan
read Valencian
interpret written Catalan",,released,2017-01-20T13:57:59Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups",Read and comprehend written texts in ​Catalan.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/340a75f4-76e1-4ef0-8f1e-1bb78ba561ef,skill/competence,cross-sector,inspect compliance with hazardous waste regulations,"compliance with hazardous waste regulations inspecting
check compliance with hazardous waste regulations
hazardous waste regulations compliance checking
inspecting compliance with hazardous waste regulations
checking compliance with hazardous waste regulations
compliance with hazardous waste regulations checking
hazardous waste regulations compliance inspecting
inspect compliance with hazardous waste regulations",,released,2016-12-20T18:41:59Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Inspect an organisation's or facility's strategies which deal with the management of hazardous waste in order to ensure that their actions are compliant with relevant legislation and that measures are taken to improve protection from exposure, and ensure health and safety."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3413584b-a4e9-4f8d-b836-c9bfee0ed80b,skill/competence,sector-specific,process data from railway control rooms,"assess data from railway control rooms
utilise data from railway control rooms
analyse data from railway control rooms
process data from railway control rooms
conduct railway control room data processing activities
evaluate data from railway control rooms
perform railway control room data processing activities
use control room data to ensure effective railway operations
process control room data to ensure effective railway operations
use control room data to inform railway operations",,released,2022-07-05T14:38:14.433Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/skills","Interpret data generated in control rooms in railway stations. Utilise gathered information to identify faults in mechanical equipment, schedule changes, and identify delays and incidents that may occur; provide solutions in the event of incidents and mitigate the impact on operations."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34147067-562c-4e5f-8dec-40972ccf29b6,knowledge,occupation-specific,plants contribution to indoor climate and health conditions,"ways in which plant contribute to indoor climate and health conditions
ways in which indoor plants affect health
contribution of plants to indoor climate and health conditions
how indoor  plants cause allergies
scope of plants contribution to indoor climate and health conditions
how plants affect indoor health
nature of plants contribution to indoor climate and health conditions
plants contribution to indoor climate and health conditions",,released,2017-01-03T10:19:58Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green",The way different plants influence the indoor climate and what plants may cause allergy
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3419fac9-575d-4492-a018-edff6f4dae26,knowledge,cross-sector,environmental legislation in agriculture and forestry,"range of environmental legislation in in agriculture and forestry
agriculture and forestry environmental regulation
impact of environmental legislation in in agriculture and forestry
scope of environmental legislation in in agriculture and forestry
implications of environmental regulation in in agriculture and forestry
range of environmental regulation in in agriculture and forestry
impact of environmental regulation in in agriculture and forestry
scope of environmental regulation in in agriculture and forestry
environmental legislation in agriculture and forestry
implications of environmental legislation in in agriculture and forestry
agriculture and forestry environmental legislation",,released,2016-12-20T17:27:43Z,,,"http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Awareness on enviromental legislation, policies, principles relevant for agriculture and forestry. Awareness of the impact on the enviroment of local agricultural precedures and practices. Means to adjust the production to new enviromental regulations and policies."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/341c4478-c976-4ff0-a102-cfd92174d873,knowledge,cross-sector,business law,"the law of business
business laws
business regulation
business law
business legislation
business norms",,released,2016-12-20T18:29:02Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The field of law concerned with the trade and commerce activities of businesses and private persons and their legal interactions. This relates to numerous legal disciplines, including tax and employment law."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/341cf309-746c-4437-ad14-e0a0ee13eacc,skill/competence,sector-specific,receive kitchen supplies,"reconcile delivered kitchen items with items ordered
receive kitchen supply
check out kitchen supplies delivered
receive supplies for kitchen
receive kitchen supplies",,released,2016-09-15T10:53:37Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Accept the delivery of ordered kitchen supplies and make sure everything is included and in good condition.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/342212c7-5650-4dbd-b7ad-18a6aee8e567,skill/competence,sector-specific,handle tour contract details,"manage tour package contract details
handle details of tour contract
check tour package conditions
handle contract tour details
handle tour contract details",,released,2016-09-15T10:50:10Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Administer tour contract details in order to make sure that tourists receive all services included in the tour package.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34250f4b-b39e-42bd-a2d7-783e90051b08,skill/competence,cross-sector,spot metal imperfections,"identify component and workpiece faults and flaws
spot metal imperfections
see component and workpiece faults and flaws
diagnose component and workpiece faults and flaws
identify metal imperfections
see metal imperfections
diagnose metal imperfections
determine component and workpiece faults and flaws
determine metal imperfections",,released,2016-12-20T19:49:37Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Observe and identify various kinds of imperfections in metal workpieces or finished products. Recognise the best fitted manner of fixing the problem, which could be caused by corrosion, rust, fractures, leaks, and other signs of wear."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3427db4f-e236-4308-a06c-65e6769609e8,skill/competence,occupation-specific,redistribute wagered money,"redistribute money that was wagered
redistribute wagered money
redistribute gaming income
redistribute wagered values
pay winning and collect losing bets",,released,2016-12-20T17:42:19Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Pay winnings and collect losing bets as established by the rules and procedures of a specific game.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/342af3a1-4fdc-4ddc-898a-bb82a7f62efe,skill/competence,sector-specific,record healthcare users' progress related to treatment,"observe healthcare users' progress related to treatment
record healthcare user's progress related to treatment
record healthcare users' progress related to treatment
record health care users' progress related to treatment
keep track of healthcare users' treatment progress
record healthcare users' treatment progress",,released,2016-12-20T19:27:26Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Record the healthcare user's progress in response to treatment by observing, listening and measuring outcomes."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34330a42-eeb0-44c3-a41e-670e9b20c7c7,knowledge,sector-specific,air traffic management,"controlling flow of air traffic
controlling air traffic flow
management of airspace
management of air traffic
airspace management
management of air traffic operations
control of air traffic
air traffic control
air traffic management
air traffic control management",,released,2016-12-20T20:58:24Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Thoroughly understand the major activities in air traffic management, such as air traffic control, air traffic flow management, and aeronautic information services."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34396520-b785-42dc-afe0-f74d7aa9f793,knowledge,cross-sector,pharmaceutical drug development,"development of pharmaceutical drugs
development phases for pharmaceutical drugs
animal trials
clinical trials
pharmaceutical drug development
pre-clinical phase
development of pharmaceutical drug
clinical phase",,released,2016-12-20T18:15:49Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Drug manufacturing phases: pre-clinical phase (research and tests on animals), clinical phase (clinical trials on humans) and the sub-phases required to obtain as an end product a pharmaceutical drug."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/343c4f94-e2b6-4dea-b4eb-e82e3c04fa22,skill/competence,occupation-specific,apply extensive study of wine types,"employ extensive study of wine types from around the world
applying extensive study of wine types from around the world
administer an extensive study of wine types from around the world
implement extensive study of wine types from around the world
utilise extensive study of wine types from around the world
apply extensive study of wine types from around the world
apply an extensive study of wine types from around the world",,released,2020-06-19T12:33:50.651Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Study wine types from around the world and advise companies and people in the industry. Analyse the types of wine being sold in different countries.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/343dd8e6-225f-460b-99e4-2e24ecbfd7ed,knowledge,occupation-specific,sommelier activities,"sommelier activity
sommelier activities
sommelier exercises
sommelier actions
sommelier strategies
a sommelier activity
sommelier operations",,released,2017-01-05T15:12:38Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Types and brands of wine and their compatibility with food.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/343de837-064c-4d69-8505-741f5a2296ed,skill/competence,sector-specific,apply different roasting methods,"applying different roasting methods
apply a different roasting method
administer different roasting methods
employ  different roasting methods
utilise  different roasting methods
implement different roasting methods
apply different roasting methods",,released,2016-12-20T19:01:40Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Employ different methods to roast cocoa beans, such as oven roasting, air roasting, drum roasting, coffee roaster, and hot air gun. Use the different methods according to the production requirements, type of cocoa beans, and desired chocolate product."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/343fec26-5ed3-4bbf-ba95-bea6f2b371b0,skill/competence,sector-specific,improve timber stands,"managing stands of timber
improving stands of timber
timber stand improving
manage stands of timber
timber stands improving
timber stands managing
improve lumber  stands
improve stands of timber
manage timber stands
improving timber stands
timber stand managing
managing timber stands",,released,2021-12-16T13:11:40.079Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Participate in the planting or thinning of tree stands as a member of a crew. Collect and classify cones by species or condition.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34406889-f522-47a7-b60d-8545b36d73bb,skill/competence,occupation-specific,design harmonious architecture,"strive for harmonious architectural constructions
harmonious architecture
design harmonious architectural constructions
harmonious architectural design
harmonious architectural constructions",,released,2021-12-08T22:28:24.055Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Design and develop constructions that keep the balance between nature and buildings. Ensure that the incorporation of buildings in a site preserves the harmony of the place.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34415032-ad3d-417a-84de-06a80728e8ef,skill/competence,occupation-specific,check implementation security plan,"checking implementation security plan
check implementation security plan
check plan for implementation security
monitor implementation of the safety plan
oversee implementation security plan
check implementation security plans",,released,2016-12-20T20:10:39Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Supervise the realisation of the aviation safety instructions.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3443f825-fe5b-4f7a-80c9-968130ed0297,skill/competence,sector-specific,monitor mixing in a live situation,"monitor live situation mixing
monitor mixing in live situations
monitoring mixing in a live situation
control mixing in a live situation
oversee mixing in a live situation
monitor mixing in a live situation",,released,2016-12-20T17:58:46Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Monitor mixing in a live audio situation, under own responsibility."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3446d034-aa08-4706-ba05-e9cb0d01b5b1,knowledge,sector-specific,neuroanatomy,"investigations of nervous system
investigation of the nervous system
study of the nervous system
neuroanatomy
study of stereotyped organization of nervous system
study of anatomy of nervous system
studies of nervous system",,released,2016-12-20T19:34:40Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",The different parts of the nervous system.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/344cbfb6-46cf-4a7d-8927-7e4fbd5ce547,knowledge,occupation-specific,neuroanatomy of animals,"neuro-anatomy of animals
study of animal's nervous system
neuroanatomy of animals
study of nervous system of animal
study of nervous systems of animals
study of animals' nervous systems
neuro-anatomy of animal",,released,2016-12-20T21:21:03Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","The study of the central and peripheral nervous system of animals, including its components such as the fiber tracts and the visual, sensory, auditory and motor pathways."
